SITE_ID,LATITUDE,LONGITUDE,NAME,STATE,LICENSING_AREA_ID,POSTCODE,SITE_PRECISION,ELEVATION,HCIS_L2,ASSIGNMENTS
6115,-32.96753,151.463358,Telstra Radio Terminal 3 km NW of Freemans Waterhole MT HEATON,NSW,3,2325,Within 10 metres,484,NV4N,104
6148,-32.978419,151.246156,"NSWTA 40m Lattice Tower Mount Congewai, Watagan Track via Cabans Rd CORRABARE",NSW,3,2325,Within 10 metres,321,NV4M,24
6195,-32.383674,150.657634,Telstra Site Mount Denman  2.8 km W of DENMAN,NSW,4,2328,Within 100 metres,390,MV6G,74
6202,-32.021178,149.995843,NBN Site CASSILIS,NSW,4,2329,Unknown,532,MV5D,28
6210,-32.121467,150.312164,Telstra Site Near Banderra Downs Homestead via MERRIWA,NSW,4,2329,Within 100 metres,421,MV6B,76
6220,-32.751897,150.865994,NPWS 25.5m Lattice Tower Mt Poppong Pools Arm Trail HOWES VALLEY,NSW,4,2330,Within 100 metres,534,MV6P,50
6277,-32.507736,151.158285,Telstra Radio Terminal Obanvale Near SINGLETON,NSW,4,2330,Within 100 metres,168,NV4I,164
6280,-32.987462,150.689701,"Transgrid 36.6m Lattice Tower Singleton Putty Trig, off Putty Rd PUTTY",NSW,4,2330,Within 100 metres,397,MV6O,64
6337,-32.363581,150.857636,Energy Australia Site Mount Arthur via MUSWELLBROOK,NSW,4,2333,Within 10 metres,461,MV6H,204
6361,-32.141714,150.782901,Broadcast Australia Site Rossgole Lookout ABERDEEN,NSW,4,2336,Within 100 metres,491,MV6D,44
6370,-31.950003,150.929285,Ausgrid 35m and 18m Lattice Towers Black Mountain via 4116 New England Hwy WINGEN,NSW,4,2337,Within 100 metres,1001,MV3P,85
6401,-31.727504,150.843984,Telstra Site Mount Helen off New England Hwy MURRURUNDI,NSW,4,2338,Within 100 metres,1172,MV3L,68
6419,-31.587659,150.992754,NSWPF 30m Lattice Tower Crawney Trig Station Crown Rd MOUNT CRAWNEY,NSW,4,2343,Within 10 metres,undefined,MV3L,46
6477,-31.0759,150.957558,Broadcast Australia Site Bald Hill  Daruka Rd DARUKA,NSW,4,2340,Within 100 metres,753,MV3D,100
6486,-31.446691,151.206093,"NSWPF 23m Lattice Tower, Yerrowin Trig Baldy Knob off Hoads Farm Rd HANGING ROCK",NSW,4,2340,Within 10 metres,1340,NV1E,43
6525,-31.301876,150.685618,State Rail Authority (SRA) Site Mount Terrible Near WERRIS CREEK,NSW,4,2342,Within 100 metres,890,MV3G,96
6553,-31.514657,150.666371,Council Site Who-Da-Thought-It Lookout QUIRINDI,NSW,4,2343,Within 100 metres,497,MV3K,34
6609,-30.222172,150.493916,Tank Blue Nobby Mountain N of BARRABA,NSW,4,2347,Within 10 metres,913,MU9B,51
6627,-30.329469,151.734558,NSW Police site Black Mountain 167 Box Point Road BLACK MOUNTAIN,NSW,4,2365,Within 10 metres,undefined,NU7G,28
